protein_id,name,ex_max,em_max,qy,stokes_shift,ext_coeff,brightness,chrom_found,chrom_position,chrom_phi_tyr,chrom_psi_tyr,chrom_chi1_tyr,chrom_ring_planarity,chrom_plddt_mean,chrom_plddt_min,env_n_neighbors,env_n_hydrophobic,env_n_polar,env_n_charged_pos,env_n_charged_neg,env_n_aromatic,env_ratio_hydrophobic,env_ratio_polar,env_net_charge,env_plddt_mean,glob_n_residues,glob_n_atoms,glob_radius_gyration,glob_extent_x,glob_extent_y,glob_extent_z,glob_plddt_mean,glob_plddt_std,glob_plddt_min,glob_frac_plddt_70,glob_frac_plddt_90,seq_freq_A,seq_freq_C,seq_freq_D,seq_freq_E,seq_freq_F,seq_freq_G,seq_freq_H,seq_freq_I,seq_freq_K,seq_freq_L,seq_freq_M,seq_freq_N,seq_freq_P,seq_freq_Q,seq_freq_R,seq_freq_S,seq_freq_T,seq_freq_V,seq_freq_W,seq_freq_Y,seq_frac_hydrophobic,seq_frac_polar,seq_frac_aromatic,seq_length,seq_gravy
amcyan1,amCyan1,453,486,,33,,,1,68.0,39.17268314634236,23.858199203531186,-174.53251234541824,0.00021052236160884653,80.39666666666666,70.19,6.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,93.27166666666666,229,1771,17.141862799275106,58.0,39.39,51.156,93.25515283842795,10.073181983976925,37.09,0.9563318777292577,0.8864628820960698,0.0611353711790393,0.021834061135371178,0.056768558951965066,0.039301310043668124,0.07423580786026202,0.10480349344978165,0.039301310043668124,0.026200873362445413,0.06550218340611354,0.039301310043668124,0.056768558951965066,0.039301310043668124,0.05240174672489083,0.021834061135371178,0.021834061135371178,0.0611353711790393,0.10043668122270742,0.06550218340611354,0.008733624454148471,0.043668122270742356,0.38427947598253276,0.28820960698689957,0.16593886462882096,229,-0.3165938864628823
amfp495,amFP495,467,495,0.08,28,,,1,68.0,-77.77023158938155,10.412207217769652,-179.17143385874692,0.0006313175365629382,77.62666666666667,70.0,8.0,3.0,4.0,1.0,0.0,1.0,0.375,0.5,1.0,92.61,229,1777,17.315940317111547,52.766,40.39,58.063,93.03283842794761,10.439157107431253,34.06,0.9519650655021834,0.8864628820960698,0.056768558951965066,0.021834061135371178,0.056768558951965066,0.034934497816593885,0.07423580786026202,0.10480349344978165,0.039301310043668124,0.026200873362445413,0.07423580786026202,0.039301310043668124,0.048034934497816595,0.043668122270742356,0.05240174672489083,0.026200873362445413,0.021834061135371178,0.056768558951965066,0.10043668122270742,0.06986899563318777,0.008733624454148471,0.043668122270742356,0.37554585152838427,0.2925764192139738,0.16593886462882096,229,-0.3685589519650657
amfp506,amFP506,483,506,0.67,23,,,1,68.0,-64.0797548802475,-34.50205796612416,167.29228266930417,0.0006759837880249535,74.2,61.28,7.0,2.0,3.0,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.0,92.16285714285713,229,1777,17.365629791255717,54.718999999999994,47.64,50.25,92.72611353711791,11.121751503748266,31.55,0.9519650655021834,0.8908296943231441,0.056768558951965066,0.021834061135371178,0.056768558951965066,0.034934497816593885,0.07423580786026202,0.10480349344978165,0.039301310043668124,0.026200873362445413,0.07423580786026202,0.039301310043668124,0.048034934497816595,0.043668122270742356,0.05240174672489083,0.026200873362445413,0.021834061135371178,0.056768558951965066,0.10043668122270742,0.06986899563318777,0.008733624454148471,0.043668122270742356,0.37554585152838427,0.2925764192139738,0.16593886462882096,229,-0.3685589519650657
amfp515,amFP515,500,515,0.006,15,,,1,68.0,-99.60919090649415,19.253869402005883,158.4235728481235,0.0004501603596895458,71.91666666666667,61.25,7.0,2.0,3.0,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.0,92.05428571428571,229,1774,17.320445695319012,61.75,37.359,54.453,92.88694323144105,10.791980092841547,32.31,0.9519650655021834,0.8864628820960698,0.056768558951965066,0.021834061135371178,0.056768558951965066,0.039301310043668124,0.07423580786026202,0.10480349344978165,0.034934497816593885,0.026200873362445413,0.07423580786026202,0.039301310043668124,0.048034934497816595,0.043668122270742356,0.05240174672489083,0.021834061135371178,0.021834061135371178,0.056768558951965066,0.10480349344978165,0.06986899563318777,0.008733624454148471,0.043668122270742356,0.37554585152838427,0.2925764192139738,0.1615720524017467,229,-0.3576419213973801
amilgfp,amilGFP,503,512,0.67,9,75200.0,50.38,1,68.0,48.69062997020537,19.998445698367572,-178.05683657166432,0.0002091438123337265,82.5,74.75,6.0,2.0,3.0,1.0,0.0,1.0,0.3333333333333333,0.5,1.0,93.71833333333332,231,1829,17.25304058913777,51.906,45.016000000000005,56.906,93.44935064935065,8.842578516272217,36.44,0.9696969696969697,0.8614718614718615,0.05194805194805195,0.012987012987012988,0.04329004329004329,0.06493506493506493,0.06926406926406926,0.08658008658008658,0.047619047619047616,0.04329004329004329,0.09090909090909091,0.05194805194805195,0.04329004329004329,0.030303030303030304,0.05627705627705628,0.030303030303030304,0.025974025974025976,0.06926406926406926,0.05627705627705628,0.07792207792207792,0.008658008658008658,0.03896103896103896,0.4025974025974026,0.23809523809523808,0.1645021645021645,231,-0.37099567099567127
aq143,AQ143,595,655,0.04,60,90000.0,3.6,1,63.0,30.51995403025219,33.58534296541145,-175.16931960908488,0.0002191861309497898,92.23,87.38,5.0,2.0,2.0,0.0,1.0,0.0,0.4,0.4,-1.0,96.138,231,1810,17.36712299737458,54.172,38.843999999999994,59.438,95.2569264069264,6.684882316988584,51.779999999999994,0.9783549783549783,0.8917748917748918,0.06060606060606061,0.030303030303030304,0.03896103896103896,0.08225108225108226,0.06060606060606061,0.09956709956709957,0.04329004329004329,0.06060606060606061,0.06493506493506493,0.05627705627705628,0.03463203463203463,0.03463203463203463,0.06060606060606061,0.03463203463203463,0.03463203463203463,0.047619047619047616,0.06493506493506493,0.047619047619047616,0.008658008658008658,0.03463203463203463,0.38961038961038963,0.24675324675324675,0.1471861471861472,231,-0.38051948051948065
aq14,AQ14,595,663,,68,,,1,63.0,31.247752765579975,34.306916208848,-175.17526527339265,0.00038881912374395214,93.37666666666667,89.31,5.0,2.0,2.0,0.0,1.0,0.0,0.4,0.4,-1.0,96.426,231,1808,17.31702326471334,52.578,37.907,59.484,95.73212121212123,6.537953086815032,46.44,0.9783549783549783,0.9090909090909091,0.06060606060606061,0.030303030303030304,0.03463203463203463,0.08225108225108226,0.06060606060606061,0.09956709956709957,0.04329004329004329,0.05627705627705628,0.06493506493506493,0.05627705627705628,0.03463203463203463,0.03896103896103896,0.05627705627705628,0.03463203463203463,0.03463203463203463,0.05194805194805195,0.06493506493506493,0.05194805194805195,0.008658008658008658,0.03463203463203463,0.3852813852813853,0.2554112554112554,0.1471861471861472,231,-0.3783549783549785
aquamarine,Aquamarine,430,474,0.89,44,26000.0,23.14,1,39.0,114.21918727086866,2.011877438715414,58.40868149817765,0.0017477993771282082,95.70666666666666,94.75,3.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,97.64333333333333,239,1890,17.67893633884001,62.671,43.875,51.875,94.49309623430962,9.111799309008223,45.44,0.9581589958158996,0.9037656903765691,0.03765690376569038,0.008368200836820083,0.07531380753138076,0.06694560669456066,0.0502092050209205,0.09623430962343096,0.03347280334728033,0.05439330543933055,0.08368200836820083,0.08786610878661087,0.02092050209205021,0.0502092050209205,0.04184100418410042,0.03347280334728033,0.02510460251046025,0.04602510460251046,0.06694560669456066,0.07112970711297072,0.008368200836820083,0.04184100418410042,0.3723849372384937,0.24686192468619247,0.13389121338912133,239,-0.4418410041841007
asred2,AsRed2,576,592,0.05,16,56200.0,2.81,1,63.0,-2.8160724850401575,34.62674238137751,176.76132604991423,0.0005043166227506133,80.62333333333333,71.19,4.0,1.0,2.0,0.0,1.0,0.0,0.25,0.5,-1.0,93.05,231,1804,17.362953786507287,52.0,39.907,59.531,94.36597402597403,7.144205703472183,37.31,0.9783549783549783,0.8744588744588745,0.05627705627705628,0.030303030303030304,0.03896103896103896,0.08225108225108226,0.047619047619047616,0.10822510822510822,0.03896103896103896,0.04329004329004329,0.07792207792207792,0.07792207792207792,0.030303030303030304,0.021645021645021644,0.05627705627705628,0.025974025974025976,0.03463203463203463,0.05194805194805195,0.0735930735930736,0.047619047619047616,0.008658008658008658,0.047619047619047616,0.36796536796536794,0.2510822510822511,0.14285714285714285,231,-0.4125541125541129
avgfp454,avGFP454,410,454,,44,,,1,38.0,114.4993521771658,1.6526845142682314,59.2970527800037,0.0005374264633329548,95.16666666666667,94.12,3.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,97.25,238,1896,17.54115349035192,52.11,45.937,60.108999999999995,94.45869747899162,9.363986190670577,43.75,0.957983193277311,0.907563025210084,0.037815126050420166,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.0546218487394958,0.08823529411764706,0.04201680672268908,0.05042016806722689,0.08403361344537816,0.07983193277310924,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.046218487394957986,0.06302521008403361,0.07142857142857142,0.004201680672268907,0.046218487394957986,0.36554621848739494,0.25210084033613445,0.14705882352941177,238,-0.5117647058823532
avgfp480,avGFP480,456,480,,24,,,1,38.0,116.08638555239264,2.0789846620217363,58.12699062740632,0.002428463470452612,95.45666666666666,94.55999999999999,4.0,1.0,0.0,2.0,1.0,0.0,0.25,0.0,1.0,97.3125,238,1886,17.567473563950937,52.906000000000006,45.813,60.406000000000006,94.8053781512605,8.715760118132758,45.12,0.957983193277311,0.9201680672268907,0.037815126050420166,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.05042016806722689,0.09663865546218488,0.037815126050420166,0.0546218487394958,0.08403361344537816,0.08823529411764706,0.01680672268907563,0.05042016806722689,0.04201680672268908,0.029411764705882353,0.029411764705882353,0.04201680672268908,0.06722689075630252,0.07142857142857142,0.004201680672268907,0.046218487394957986,0.36554621848739494,0.24369747899159663,0.13865546218487396,238,-0.4676470588235297
avicfp1,AvicFP1,481,503,0.63,22,64000.0,40.32,1,65.0,142.10456960751284,-43.33639854336129,57.23752039514384,0.00016294882911858447,70.58333333333333,67.81,7.0,3.0,2.0,1.0,1.0,1.0,0.42857142857142855,0.2857142857142857,0.0,93.98285714285713,238,1886,17.564540841986048,61.547,40.531,56.218999999999994,93.8466806722689,10.000987278518487,42.81,0.9537815126050421,0.8991596638655462,0.03361344537815126,0.01680672268907563,0.07142857142857142,0.06302521008403361,0.046218487394957986,0.10084033613445378,0.046218487394957986,0.07142857142857142,0.07983193277310924,0.06722689075630252,0.025210084033613446,0.058823529411764705,0.04201680672268908,0.03361344537815126,0.029411764705882353,0.037815126050420166,0.06302521008403361,0.06302521008403361,0.004201680672268907,0.046218487394957986,0.35294117647058826,0.25630252100840334,0.14285714285714285,238,-0.5100840336134457
avicfp2,AvicFP2,480,515,0.04,35,59000.0,2.36,1,65.0,80.0613791334403,-34.33477336596101,141.3489122882407,0.0005148872925497585,70.33333333333333,64.44,6.0,3.0,1.0,1.0,1.0,0.0,0.5,0.16666666666666666,0.0,91.395,232,1798,16.9477935039293,52.312,38.578,53.328,93.70387931034483,6.577806765746693,50.25,0.978448275862069,0.8491379310344828,0.04310344827586207,0.02586206896551724,0.0603448275862069,0.05172413793103448,0.04310344827586207,0.10344827586206896,0.021551724137931036,0.07758620689655173,0.06896551724137931,0.06896551724137931,0.021551724137931036,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.03017241379310345,0.0603448275862069,0.0603448275862069,0.07327586206896551,0.004310344827586207,0.04741379310344827,0.36637931034482757,0.2974137931034483,0.11637931034482758,232,-0.2577586206896551
avicfp3,AvicFP3,480,520,0.001,40,,,1,65.0,61.889484635380704,-18.46207718923965,158.48883290784016,0.0005663626926711564,80.79333333333334,76.38,6.0,3.0,1.0,1.0,1.0,0.0,0.5,0.16666666666666666,0.0,93.66666666666667,232,1793,16.865633783842814,55.625,39.828,50.094,93.71594827586206,6.959821016630494,47.44,0.9827586206896551,0.8620689655172413,0.04741379310344827,0.02586206896551724,0.05603448275862069,0.04741379310344827,0.04310344827586207,0.10775862068965517,0.02586206896551724,0.06465517241379311,0.07327586206896551,0.06896551724137931,0.021551724137931036,0.06465517241379311,0.034482758620689655,0.03879310344827586,0.03017241379310345,0.0603448275862069,0.06896551724137931,0.06896551724137931,0.004310344827586207,0.04741379310344827,0.35344827586206895,0.30603448275862066,0.1206896551724138,232,-0.3344827586206897
avicfp4,AvicFP4,500,512,0.1,12,121000.0,12.1,1,65.0,75.60794392697822,1.4403030384479436,81.74804983241728,0.00038209836583582267,83.87333333333335,81.62,5.0,3.0,1.0,0.0,1.0,1.0,0.6,0.2,-1.0,94.828,232,1792,16.96056826125762,50.36,40.657,53.859,94.93801724137933,6.411291994144822,45.81,0.978448275862069,0.9094827586206896,0.04310344827586207,0.03017241379310345,0.04310344827586207,0.06896551724137931,0.05172413793103448,0.11206896551724138,0.034482758620689655,0.06465517241379311,0.06896551724137931,0.06896551724137931,0.017241379310344827,0.0603448275862069,0.05172413793103448,0.017241379310344827,0.034482758620689655,0.0603448275862069,0.0603448275862069,0.06896551724137931,0.004310344827586207,0.03879310344827586,0.3706896551724138,0.2672413793103448,0.12931034482758622,232,-0.29741379310344834
azaleab5,AzaleaB5,574,596,0.58,22,104000.0,60.32,1,68.0,41.62448796125758,27.06079562462364,-176.60494985319937,0.0006703011731479611,90.21,87.19,5.0,2.0,2.0,0.0,1.0,0.0,0.4,0.4,-1.0,95.526,230,1826,17.036073046932376,50.781,47.0,45.703,94.91004347826086,6.40108594712315,55.59000000000001,0.9782608695652174,0.9173913043478261,0.030434782608695653,0.021739130434782608,0.05217391304347826,0.0782608695652174,0.05217391304347826,0.09565217391304348,0.034782608695652174,0.043478260869565216,0.09130434782608696,0.08260869565217391,0.043478260869565216,0.0391304347826087,0.05652173913043478,0.02608695652173913,0.02608695652173913,0.04782608695652174,0.06521739130434782,0.06086956521739131,0.013043478260869565,0.0391304347826087,0.3826086956521739,0.2391304347826087,0.1391304347826087,230,-0.4417391304347831
azurite,Azurite,383,447,0.55,64,26200.0,14.41,1,38.0,116.8480173200394,2.636352492870393,57.373468900843186,0.003957081385759379,95.37333333333333,94.30999999999999,3.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,97.60333333333334,238,1894,17.60657576852248,50.233999999999995,40.483999999999995,63.5,95.01441176470588,9.083036425359055,43.69,0.957983193277311,0.9243697478991597,0.03361344537815126,0.008403361344537815,0.07563025210084033,0.06722689075630252,0.0546218487394958,0.09243697478991597,0.046218487394957986,0.0546218487394958,0.08403361344537816,0.08403361344537816,0.025210084033613446,0.0546218487394958,0.04201680672268908,0.03361344537815126,0.029411764705882353,0.046218487394957986,0.06302521008403361,0.06302521008403361,0.004201680672268907,0.037815126050420166,0.36134453781512604,0.24369747899159663,0.14285714285714285,238,-0.542857142857143
bflogfpa1,bfloGFPa1,500,512,1.0,12,120900.0,120.9,1,58.0,41.80147013466097,-14.26521666280863,76.55162805869007,0.0002800906384921309,81.93666666666667,76.56,6.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,92.875,219,1730,16.667923051202514,48.859,40.015,47.703,93.95484018264841,5.461179338657444,55.56,0.9908675799086758,0.8447488584474886,0.0502283105022831,0.0091324200913242,0.0730593607305936,0.0410958904109589,0.0547945205479452,0.0958904109589041,0.0365296803652968,0.0319634703196347,0.0821917808219178,0.0684931506849315,0.0365296803652968,0.0319634703196347,0.0593607305936073,0.0273972602739726,0.0273972602739726,0.0821917808219178,0.0502283105022831,0.0639269406392694,0.0045662100456621,0.0730593607305936,0.3698630136986301,0.273972602739726,0.1689497716894977,219,-0.4926940639269407
